radius,mean_hue,mean_saturation,mean_value,label
1.7678669691085815,0.0,0.0,97.1,0
0.5001000165939331,0.0,0.0,94.5,0
1.1181340217590332,0.0,0.0,95.0,0
1.1181340217590332,0.0,0.0,97.5,0
1.0001000165939329,0.0,0.0,95.5,0
2.500099897384644,0.0,0.0,102.6875,0
9.999999747378753e-05,120.0,5.0,93.0,0
9.999999747378753e-05,120.0,5.0,94.0,0
9.999999747378753e-05,120.0,5.0,97.0,0
131.72361755371094,18.125998139390646,123.39332506395843,186.56312504845334,1
3.274893522262573,120.0,4.37037037037037,118.14814814814814,0
122.9564971923828,17.003604078762308,123.21426687763712,213.62471431082986,1
158.35853576660156,15.624263745635776,120.41603368780147,170.04270941606032,2
128.71885681152344,18.315713772024452,113.18606416556793,177.88912861081147,1
9.999999747378753e-05,120.0,5.0,94.0,0
123.90979766845705,18.393910070318046,116.17973033997806,191.03053566436574,1
123.72218322753906,17.703221340025532,129.61828526923827,189.7765398178396,1
290.3412780761719,18.474321122094494,120.07594383392514,193.2729852222793,0
156.97019958496094,16.323903010170046,108.23519080747707,209.98198799199463,2
3.2016620635986333,0.0,0.0,119.30434782608695,0
9.999999747378753e-05,0.0,0.0,94.0,0
158.99607849121094,17.416377112206202,123.32454320857168,183.60291183892403,2
153.06793212890625,19.958199087827946,135.34313848557122,177.94971895616277,2
124.9715347290039,17.76261682242991,123.14556074766355,172.14972387425658,1
153.6672821044922,17.967159915126132,122.05726212434297,192.04813679670485,2
162.1991729736328,16.38301251749045,118.41205612071249,200.93059284750848,2
155.4688262939453,16.55753673435694,102.56888723790657,211.26900005503276,2
125.178955078125,19.74057759250505,104.0870471442692,186.40379904594099,1
125.58230590820312,18.966863205055045,97.4267419007164,179.35417062913413,1
159.14183044433594,20.01512041511021,122.35466680265692,193.2965819702436,2
0.7072067856788635,120.0,5.0,94.33333333333331,0
126.3001708984375,20.478887981745483,104.51317800247023,187.15711025979192,1
